"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority"
"257573";"Q";"de:01004:66244::8";"de:01004:66244";"Neumünster ZOB/Bahnhof";"54,074294";"9,979505";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257574";"S";"de:01004:66245";"de:01004:66245";"Neumünster Zollamt";"54,075686";"9,966403";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257575";"Q";"de:01004:66245::1";"de:01004:66245";"Neumünster Zollamt";"54,075686";"9,966403";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257576";"Q";"de:01004:66245::2";"de:01004:66245";"Neumünster Zollamt";"54,075751";"9,966423";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257577";"S";"de:01004:66246";"de:01004:66246";"Neumünster-Brachenfeld";"54,078381";"10,012302";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257578";"Q";"de:01004:66246::1";"de:01004:66246";"Neumünster-Brachenfeld";"54,078381";"10,012302";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257579";"Q";"de:01004:66246::2";"de:01004:66246";"Neumünster-Brachenfeld";"54,078446";"10,012287";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257580";"S";"de:01004:66247";"de:01004:66247";"Neumünster-Einfeld Alte Schanze";"54,138387";"10,008681";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257581";"Q";"de:01004:66247::1";"de:01004:66247";"Neumünster-Einfeld Alte Schanze";"54,138387";"10,008681";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257582";"Q";"de:01004:66247::2";"de:01004:66247";"Neumünster-Einfeld Alte Schanze";"54,138387";"10,008681";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257583";"S";"de:01004:66248";"de:01004:66248";"Neumünster-Einfeld Bahnhof";"54,129276";"9,99643";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257584";"Q";"de:01004:66248::1";"de:01004:66248";"Neumünster-Einfeld Bahnhof";"54,129276";"9,99643";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257585";"Q";"de:01004:66248::2";"de:01004:66248";"Neumünster-Einfeld Bahnhof";"54,129276";"9,99643";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257586";"Q";"de:01004:66248::3";"de:01004:66248";"Neumünster-Einfeld Bahnhof";"54,129276";"9,99643";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257587";"Q";"de:01004:66248::4";"de:01004:66248";"Neumünster-Einfeld Bahnhof";"54,129276";"9,99643";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
